Id,Weekly_Sales
1_1_2012-11-02,34831.176
1_1_2012-11-09,17327.621
1_1_2012-11-16,19111.314
1_1_2012-11-23,19481.201
1_1_2012-11-30,21812.334
1_1_2012-12-07,31235.678
1_1_2012-12-14,44916.484
1_1_2012-12-21,53015.777
1_1_2012-12-28,19960.809
1_1_2013-01-04,16355.217
1_1_2013-01-11,16984.697
1_1_2013-01-18,17854.146
1_1_2013-01-25,18722.443
1_1_2013-02-01,24732.688
1_1_2013-02-08,40511.11
1_1_2013-02-15,46035.363
1_1_2013-02-22,19213.7
1_1_2013-03-01,21601.93
1_1_2013-03-08,21040.84
1_1_2013-03-15,21792.547
1_1_2013-03-22,23147.791
1_1_2013-03-29,28050.555
1_1_2013-04-05,37864.734
1_1_2013-04-12,28661.193
1_1_2013-04-19,17168.398
1_1_2013-04-26,16921.28
1_1_2013-05-03,18469.02
1_1_2013-05-10,17472.908
1_1_2013-05-17,16097.035
1_1_2013-05-24,16663.3
1_1_2013-05-31,17156.941
1_1_2013-06-07,17114.654
1_1_2013-06-14,16991.945
1_1_2013-06-21,16347.15
1_1_2013-06-28,16645.484
1_1_2013-07-05,17372.979
1_1_2013-07-12,16573.182
1_1_2013-07-19,15816.963
1_1_2013-07-26,16104.392
1_2_2012-11-02,47077.5
1_2_2012-11-09,44791.496
1_2_2012-11-16,44328.48
1_2_2012-11-23,43123.36
1_2_2012-11-30,44400.887
1_2_2012-12-07,47150.97
1_2_2012-12-14,52138.926
1_2_2012-12-21,62894.31
1_2_2012-12-28,40759.11
1_2_2013-01-04,43784.223
1_2_2013-01-11,42876.17
1_2_2013-01-18,43665.918
1_2_2013-01-25,42017.863
1_2_2013-02-01,49881.617
1_2_2013-02-08,49454.156
1_2_2013-02-15,48495.74
1_2_2013-02-22,47321.93
1_2_2013-03-01,49622.934
1_2_2013-03-08,46919.547
1_2_2013-03-15,47553.137
1_2_2013-03-22,44762.21
1_2_2013-03-29,47038.95
1_2_2013-04-05,48445.91
1_2_2013-04-12,45476.543
1_2_2013-04-19,45830.613
1_2_2013-04-26,43712.21
1_2_2013-05-03,46986.164
1_2_2013-05-10,43825.242
1_2_2013-05-17,44757.137
1_2_2013-05-24,44841.332
1_2_2013-05-31,48171.58
1_2_2013-06-07,48524.22
1_2_2013-06-14,47816.89
1_2_2013-06-21,46993.12
1_2_2013-06-28,47011.234
1_2_2013-07-05,46646.23
1_2_2013-07-12,44714.27
1_2_2013-07-19,45071.746
1_2_2013-07-26,42970.305
1_3_2012-11-02,9034.054
1_3_2012-11-09,9078.911
1_3_2012-11-16,8537.311
1_3_2012-11-23,8929.503
1_3_2012-11-30,9654.586
1_3_2012-12-07,10189.87
1_3_2012-12-14,12088.76
1_3_2012-12-21,13623.468
1_3_2012-12-28,8551.692
1_3_2013-01-04,15890.854
1_3_2013-01-11,13307.865
1_3_2013-01-18,12660.049
1_3_2013-01-25,11848.882
1_3_2013-02-01,11176.766
1_3_2013-02-08,10148.439
1_3_2013-02-15,10650.421
1_3_2013-02-22,10105.35
1_3_2013-03-01,10582.107
1_3_2013-03-08,10467.15
1_3_2013-03-15,10183.263
1_3_2013-03-22,9506.503
1_3_2013-03-29,10029.878
1_3_2013-04-05,10225.632
1_3_2013-04-12,10072.869
1_3_2013-04-19,9211.563
1_3_2013-04-26,8859.261
1_3_2013-05-03,10179.748
1_3_2013-05-10,9526.726
1_3_2013-05-17,8452.978
1_3_2013-05-24,8367.045
1_3_2013-05-31,7546.1445
1_3_2013-06-07,8266.887
1_3_2013-06-14,8390.203
1_3_2013-06-21,7529.299
1_3_2013-06-28,8239.358
1_3_2013-07-05,9267.226
1_3_2013-07-12,13282.076
1_3_2013-07-19,16904.555
1_3_2013-07-26,21637.676
1_4_2012-11-02,38959.027
1_4_2012-11-09,35901.02
1_4_2012-11-16,37090.17
1_4_2012-11-23,38871.56
1_4_2012-11-30,37286.273
1_4_2012-12-07,38248.883
1_4_2012-12-14,39276.598
1_4_2012-12-21,46735.516
1_4_2012-12-28,33490.215
1_4_2013-01-04,39058.312
1_4_2013-01-11,36003.03
1_4_2013-01-18,35940.082
1_4_2013-01-25,34250.086
1_4_2013-02-01,38011.934
1_4_2013-02-08,36821.45
1_4_2013-02-15,36504.438
1_4_2013-02-22,35968.348
1_4_2013-03-01,38852.77
1_4_2013-03-08,36384.152
1_4_2013-03-15,35751.027
1_4_2013-03-22,34158.016
1_4_2013-03-29,36355.21
1_4_2013-04-05,36869.906
1_4_2013-04-12,35141.152
1_4_2013-04-19,34589.94
1_4_2013-04-26,34025.527
1_4_2013-05-03,37175.285
1_4_2013-05-10,34576.707
1_4_2013-05-17,35550.02
1_4_2013-05-24,35984.977
1_4_2013-05-31,37416.195
1_4_2013-06-07,37852.535
1_4_2013-06-14,36891.25
1_4_2013-06-21,35781.543
1_4_2013-06-28,36698.812
1_4_2013-07-05,37354.203
1_4_2013-07-12,35934.285
1_4_2013-07-19,36627.51
1_4_2013-07-26,35490.09
1_5_2012-11-02,27048.82
1_5_2012-11-09,28357.504
1_5_2012-11-16,25325.879
1_5_2012-11-23,70517.83
1_5_2012-11-30,35201.56
1_5_2012-12-07,47293.863
1_5_2012-12-14,57867.973
1_5_2012-12-21,86690.32
1_5_2012-12-28,32700.56
1_5_2013-01-04,21287.408
1_5_2013-01-11,17975.72
1_5_2013-01-18,18279.527
1_5_2013-01-25,19963.1
1_5_2013-02-01,28711.633
1_5_2013-02-08,32868.883
1_5_2013-02-15,31901.371
1_5_2013-02-22,24837.057
1_5_2013-03-01,27718.154
1_5_2013-03-08,25396.441
1_5_2013-03-15,26697.521
1_5_2013-03-22,21739.31
1_5_2013-03-29,23611.895
1_5_2013-04-05,23493.781
1_5_2013-04-12,19877.596
1_5_2013-04-19,20633.852
1_5_2013-04-26,18752.002
1_5_2013-05-03,19737.191
1_5_2013-05-10,18461.81
1_5_2013-05-17,17500.785
1_5_2013-05-24,17484.91
1_5_2013-05-31,20996.059
1_5_2013-06-07,20979.03
1_5_2013-06-14,23514.77
1_5_2013-06-21,21216.97
1_5_2013-06-28,19481.54
1_5_2013-07-05,19947.39
1_5_2013-07-12,17262.852
1_5_2013-07-19,17429.941
1_5_2013-07-26,16575.037
1_6_2012-11-02,3057.743
1_6_2012-11-09,4464.5015
1_6_2012-11-16,5227.4033
1_6_2012-11-23,20920.92
1_6_2012-11-30,5471.075
1_6_2012-12-07,6665.4497
1_6_2012-12-14,9994.796
1_6_2012-12-21,21558.875
1_6_2012-12-28,7839.446
1_6_2013-01-04,3440.6665
1_6_2013-01-11,2816.3933
1_6_2013-01-18,2867.8987
1_6_2013-01-25,3249.6328
1_6_2013-02-01,4093.9453
1_6_2013-02-08,5308.644
1_6_2013-02-15,6138.93
1_6_2013-02-22,4776.9116
1_6_2013-03-01,4745.6143
1_6_2013-03-08,3958.311
1_6_2013-03-15,3863.2327
1_6_2013-03-22,3965.62
1_6_2013-03-29,4279.8384
1_6_2013-04-05,3942.3713
1_6_2013-04-12,3837.8713
1_6_2013-04-19,5000.3257
1_6_2013-04-26,4472.6846
1_6_2013-05-03,5143.3726
1_6_2013-05-10,4604.0195
1_6_2013-05-17,4904.8716
1_6_2013-05-24,4869.8853
1_6_2013-05-31,4569.4756
1_6_2013-06-07,4082.2039
1_6_2013-06-14,4057.9102
1_6_2013-06-21,3957.2285
1_6_2013-06-28,4181.159
1_6_2013-07-05,3694.354
1_6_2013-07-12,3339.7444
1_6_2013-07-19,3591.334
1_6_2013-07-26,3381.371
1_7_2012-11-02,22172.512
1_7_2012-11-09,24746.043
1_7_2012-11-16,24295.963
1_7_2012-11-23,73742.28
1_7_2012-11-30,36985.375
1_7_2012-12-07,62119.05
1_7_2012-12-14,90066.75
1_7_2012-12-21,142688.2
1_7_2012-12-28,27026.924
1_7_2013-01-04,14807.207
1_7_2013-01-11,13288.271
1_7_2013-01-18,13341.592
1_7_2013-01-25,13565.476
1_7_2013-02-01,17174.264
1_7_2013-02-08,18603.645
1_7_2013-02-15,20403.707
1_7_2013-02-22,16869.896
1_7_2013-03-01,18318.201
1_7_2013-03-08,18344.842
1_7_2013-03-15,21135.064
1_7_2013-03-22,17883.576
1_7_2013-03-29,19455.58
1_7_2013-04-05,22394.807
1_7_2013-04-12,19728.783
1_7_2013-04-19,19959.771
1_7_2013-04-26,18896.08
1_7_2013-05-03,20618.275
1_7_2013-05-10,19144.914
1_7_2013-05-17,19181.441
1_7_2013-05-24,22871.66
1_7_2013-05-31,28918.008
1_7_2013-06-07,26208.172
1_7_2013-06-14,25579.363
1_7_2013-06-21,24686.992
1_7_2013-06-28,24327.262
1_7_2013-07-05,25834.78
1_7_2013-07-12,20281.861
1_7_2013-07-19,19536.213
1_7_2013-07-26,17872.879
1_8_2012-11-02,36862.414
1_8_2012-11-09,36108.49
1_8_2012-11-16,36625.89
1_8_2012-11-23,34366.965
1_8_2012-11-30,36548.383
1_8_2012-12-07,40539.414
1_8_2012-12-14,42043.805
1_8_2012-12-21,46244.64
1_8_2012-12-28,34075.598
1_8_2013-01-04,34377.305
1_8_2013-01-11,35192.914
1_8_2013-01-18,33540.69
1_8_2013-01-25,33163.06
1_8_2013-02-01,37473.816
1_8_2013-02-08,37493.48
1_8_2013-02-15,36176.62
1_8_2013-02-22,34877.723
1_8_2013-03-01,36298.01
1_8_2013-03-08,35103.86
1_8_2013-03-15,35849.66
1_8_2013-03-22,34156.527
1_8_2013-03-29,36056.203
1_8_2013-04-05,37304.875
1_8_2013-04-12,35664.445
1_8_2013-04-19,35403.87
1_8_2013-04-26,34864.652
1_8_2013-05-03,36862.52
1_8_2013-05-10,35543.95
1_8_2013-05-17,35080.58
1_8_2013-05-24,36092.74
1_8_2013-05-31,36327.17
1_8_2013-06-07,35835.273
1_8_2013-06-14,35429.11
1_8_2013-06-21,34904.344
1_8_2013-06-28,36097.402
1_8_2013-07-05,36133.68
1_8_2013-07-12,34005.215
1_8_2013-07-19,34294.484
1_8_2013-07-26,33627.336
1_9_2012-11-02,25153.592
1_9_2012-11-09,24888.268
1_9_2012-11-16,22724.297
1_9_2012-11-23,40094.71
1_9_2012-11-30,21866.012
1_9_2012-12-07,24979.352
1_9_2012-12-14,30291.904
1_9_2012-12-21,48507.15
1_9_2012-12-28,22044.727
1_9_2013-01-04,17444.842
1_9_2013-01-11,15628.202
1_9_2013-01-18,16275.139
1_9_2013-01-25,16258.601
1_9_2013-02-01,19219.682
1_9_2013-02-08,21113.26
1_9_2013-02-15,22734.887
1_9_2013-02-22,22397.568
1_9_2013-03-01,25012.502
1_9_2013-03-08,27147.457
1_9_2013-03-15,33161.14
1_9_2013-03-22,28041.875
1_9_2013-03-29,33179.43
1_9_2013-04-05,36401.38
1_9_2013-04-12,32657.047
1_9_2013-04-19,29624.273
1_9_2013-04-26,28935.275
1_9_2013-05-03,29041.77
1_9_2013-05-10,25810.469
1_9_2013-05-17,25060.021
1_9_2013-05-24,28763.346
1_9_2013-05-31,34061.96
1_9_2013-06-07,30001.367
1_9_2013-06-14,30187.053
1_9_2013-06-21,28331.97
1_9_2013-06-28,30290.645
